dataset,instancia,n,M,archivo
densidad-alta,ALTA-1,1,0,instancias/densidad-alta/ALTA-1.txt
densidad-alta,ALTA-2,2,1,instancias/densidad-alta/ALTA-2.txt
densidad-alta,ALTA-3,3,1,instancias/densidad-alta/ALTA-3.txt
densidad-alta,ALTA-4,4,2,instancias/densidad-alta/ALTA-4.txt
densidad-alta,ALTA-5,5,2,instancias/densidad-alta/ALTA-5.txt
densidad-alta,ALTA-6,6,3,instancias/densidad-alta/ALTA-6.txt
densidad-alta,ALTA-7,7,3,instancias/densidad-alta/ALTA-7.txt
densidad-alta,ALTA-8,8,4,instancias/densidad-alta/ALTA-8.txt
densidad-alta,ALTA-9,9,4,instancias/densidad-alta/ALTA-9.txt
densidad-alta,ALTA-10,10,5,instancias/densidad-alta/ALTA-10.txt
densidad-alta,ALTA-11,11,5,instancias/densidad-alta/ALTA-11.txt
densidad-alta,ALTA-12,12,6,instancias/densidad-alta/ALTA-12.txt
densidad-alta,ALTA-13,13,6,instancias/densidad-alta/ALTA-13.txt
densidad-alta,ALTA-14,14,7,instancias/densidad-alta/ALTA-14.txt
densidad-alta,ALTA-15,15,7,instancias/densidad-alta/ALTA-15.txt
densidad-alta,ALTA-16,16,8,instancias/densidad-alta/ALTA-16.txt
densidad-alta,ALTA-17,17,8,instancias/densidad-alta/ALTA-17.txt
densidad-alta,ALTA-18,18,9,instancias/densidad-alta/ALTA-18.txt
densidad-alta,ALTA-19,19,9,instancias/densidad-alta/ALTA-19.txt
densidad-alta,ALTA-20,20,10,instancias/densidad-alta/ALTA-20.txt
densidad-alta,ALTA-21,21,10,instancias/densidad-alta/ALTA-21.txt
densidad-alta,ALTA-22,22,11,instancias/densidad-alta/ALTA-22.txt
densidad-alta,ALTA-23,23,11,instancias/densidad-alta/ALTA-23.txt
densidad-alta,ALTA-24,24,12,instancias/densidad-alta/ALTA-24.txt
densidad-alta,ALTA-25,25,12,instancias/densidad-alta/ALTA-25.txt
densidad-alta,ALTA-26,26,13,instancias/densidad-alta/ALTA-26.txt
densidad-alta,ALTA-27,27,13,instancias/densidad-alta/ALTA-27.txt
densidad-alta,ALTA-28,28,14,instancias/densidad-alta/ALTA-28.txt
densidad-alta,ALTA-29,29,14,instancias/densidad-alta/ALTA-29.txt
densidad-alta,ALTA-30,30,15,instancias/densidad-alta/ALTA-30.txt
densidad-alta,ALTA-31,31,15,instancias/densidad-alta/ALTA-31.txt
densidad-alta,ALTA-32,32,16,instancias/densidad-alta/ALTA-32.txt
densidad-alta,ALTA-33,33,16,instancias/densidad-alta/ALTA-33.txt
densidad-alta,ALTA-34,34,17,instancias/densidad-alta/ALTA-34.txt
densidad-alta,ALTA-35,35,17,instancias/densidad-alta/ALTA-35.txt
densidad-alta,ALTA-36,36,18,instancias/densidad-alta/ALTA-36.txt
densidad-alta,ALTA-37,37,18,instancias/densidad-alta/ALTA-37.txt
densidad-alta,ALTA-38,38,19,instancias/densidad-alta/ALTA-38.txt
densidad-alta,ALTA-39,39,19,instancias/densidad-alta/ALTA-39.txt
densidad-alta,ALTA-40,40,20,instancias/densidad-alta/ALTA-40.txt
densidad-alta,ALTA-41,41,20,instancias/densidad-alta/ALTA-41.txt
densidad-alta,ALTA-42,42,21,instancias/densidad-alta/ALTA-42.txt
densidad-alta,ALTA-43,43,21,instancias/densidad-alta/ALTA-43.txt
densidad-alta,ALTA-44,44,22,instancias/densidad-alta/ALTA-44.txt
